tau,A_min,n_images,instances_per_image,positive_pairs,negative_same_class_pairs,over_split_noise_pairs,over_split_noise_rate_pct,over_split_noise_pairs_per_image,under_merge_noise_pairs,under_merge_noise_rate_pct,under_merge_noise_pairs_per_image,affinity_noise_rate_pct,affinity_noise_pairs_per_image,positive_feature_sim_mean,negative_same_class_feature_sim_mean,positive_depth_delta_mean,negative_same_class_depth_delta_mean
0.1,500,5,17.0,1353,368,257,69.83695652173913,51.4,2,0.14781966001478197,0.4,15.04938988959907,51.8,0.9327602019947895,0.908096982733063,0.00653640506272834,0.00957683828132956
0.1,1000,5,13.8,1360,353,249,70.53824362606233,49.8,2,0.14705882352941177,0.4,14.652656158785756,50.2,0.9328139824025771,0.9081164642366404,0.006518878590534715,0.009574928371072154
0.2,500,5,16.2,1364,357,256,71.70868347338936,51.2,2,0.1466275659824047,0.4,14.991284137129576,51.6,0.9327402939894333,0.9074131480785979,0.0065929954571108665,0.009454304472405035
0.2,1000,5,13.6,1365,348,249,71.55172413793103,49.8,2,0.14652014652014653,0.4,14.652656158785756,50.2,0.9327801058143923,0.9078945586051064,0.006589469302704919,0.009341951491760796
