tau,A_min,score_tau,n_images,n_instances,instances_per_image,score_mean,score_median,score_p05,score_p10,score_p25,score_lt_0_60_pct,score_lt_0_70_pct,score_lt_0_80_pct,score_lt_0_90_pct,area_median,area_p10,fill_ratio_mean,fill_ratio_p10,fill_ratio_lt_0_10_pct,depth_mad_norm_mean,depth_mad_norm_p90,boundary_support_mean
0.05,500,0.2,5,96,19.2,0.9842138302162606,0.9889031061035747,0.9608563081764134,0.9687641944105753,0.9795301343718692,0.0,0.0,0.0,2.083333333333333,2622.5,639.5,0.4850309118918814,0.20387502299037405,4.166666666666666,0.046101639642763786,0.13283570992908927,0.04965157242016479
0.05,1000,0.2,5,75,15.0,0.9857714122928417,0.9876196233508647,0.9676709960921509,0.970002061556313,0.9794526202433513,0.0,0.0,0.0,0.0,4005.0,1619.0,0.4281447931081706,0.12481716620798712,5.333333333333334,0.0598305422765614,0.15222639077050665,0.04237638512936731
0.2,500,0.2,5,91,18.2,0.9858155754334178,0.9896711143242957,0.9670960694252078,0.9696587330432532,0.9801508085749442,0.0,0.0,0.0,1.098901098901099,2753.0,645.0,0.49315767977708175,0.23606020942408376,4.395604395604396,0.05044868603767023,0.13459728873013593,0.034687493792172154
0.2,1000,0.2,5,74,14.8,0.9847035651877128,0.988570849465519,0.9670135836827246,0.9696390685969678,0.9793751061148335,0.0,0.0,0.0,1.3513513513513513,3962.5,1612.8,0.4261482444238146,0.12416297288781745,5.405405405405405,0.061127452323681566,0.14529122852345777,0.03757170873152948
