tau,A_min,score_tau,n_images,n_instances,instances_per_image,score_mean,score_median,score_p05,score_p10,score_p25,score_lt_0_60_pct,score_lt_0_70_pct,score_lt_0_80_pct,score_lt_0_90_pct,area_median,area_p10,fill_ratio_mean,fill_ratio_p10,fill_ratio_lt_0_10_pct,depth_mad_norm_mean,depth_mad_norm_p90,boundary_support_mean
0.1,500,0.2,50,875,17.5,0.980226239457361,0.9885643715590824,0.9312492624543324,0.9542408524246558,0.9773398392494304,0.0,0.0,0.2285714285714286,2.2857142857142856,4145.0,954.8000000000001,0.4554775644152192,0.14659890163822234,6.171428571428572,0.07254638980945886,0.21893513510419926,0.057620815466690276
0.1,1000,0.2,50,753,15.06,0.9821054869639482,0.9886329839164341,0.9392549369163625,0.9608431125469825,0.978846815638544,0.0,0.0,0.0,1.3280212483399734,5314.0,1634.2,0.4352915995978463,0.1306135318217973,6.905710491367861,0.07692061777969625,0.22716764204258932,0.051479403115994485
0.1,2000,0.2,50,600,12.0,0.9838051983042692,0.988521305311033,0.9535841382728357,0.9664833725195118,0.9795924264264937,0.0,0.0,0.0,0.6666666666666667,8045.0,3002.8,0.40859743640582347,0.10216484926018167,9.833333333333332,0.08799880831200997,0.2524761594011823,0.04504427916370332
0.15,500,0.2,50,844,16.88,0.9809759885755029,0.9888863650140728,0.9348963637435835,0.9566137030747429,0.9785286212430726,0.0,0.11848341232227488,0.23696682464454977,2.251184834123223,4280.5,951.9000000000001,0.4582893379520748,0.14721558520769432,6.516587677725119,0.07598026901322368,0.22971263876859838,0.04673381771583891
0.15,1000,0.2,50,726,14.52,0.9831594410767839,0.9892478255739882,0.9481098511433657,0.9639220585248987,0.9793720339019619,0.0,0.0,0.0,1.2396694214876034,5540.0,1664.0,0.43649021472833954,0.1247105466615084,7.300275482093664,0.0804102214407707,0.23342382692693198,0.040742501195394444
0.15,2000,0.2,50,585,11.7,0.9838364149719744,0.9886329839164341,0.9528978137470564,0.9665882487025642,0.9798749364148973,0.0,0.0,0.0,0.8547008547008548,8088.0,3024.2000000000003,0.40720395417716726,0.10146511886893424,9.572649572649574,0.09186792838845745,0.25383435190738124,0.038780223936415635
0.2,500,0.2,50,827,16.54,0.982100167184236,0.9893665310466488,0.9432420404995506,0.9585596282148007,0.9791333183143488,0.0,0.0,0.12091898428053204,1.9347037484885126,4427.0,975.8000000000001,0.45770245697067896,0.14665104487415542,6.6505441354292625,0.07752773400670013,0.2333040693232547,0.039152887231048684
0.2,1000,0.2,50,719,14.38,0.9831177271774099,0.98936782631891,0.9484171930801513,0.9642000132866021,0.9794395179503217,0.0,0.0,0.0,1.3908205841446455,5573.0,1664.0,0.43725631385319613,0.12648405673657365,7.232267037552156,0.08268886510724871,0.23451503631363366,0.03684662171427072
0.2,2000,0.2,50,581,11.62,0.9838635912263239,0.9886329839164341,0.9536019679588454,0.9667266203660281,0.9798749364148973,0.0,0.0,0.0,1.0327022375215147,8088.0,3015.0,0.4064716973713468,0.10236634081969943,9.63855421686747,0.09408119219208194,0.26253381292476285,0.03572587596602007
0.25,500,0.2,50,825,16.5,0.9821381634866447,0.98936782631891,0.9409438716439741,0.9585006597149612,0.9793477127762854,0.0,0.0,0.24242424242424243,2.0606060606060606,4399.0,971.0,0.4583110605963863,0.14659890163822234,6.787878787878789,0.07702671758586573,0.2328741506687521,0.03841225897512314
0.25,1000,0.2,50,718,14.36,0.9829077124536771,0.9894098907288218,0.94841398468253,0.9641822582570784,0.9795101349695043,0.0,0.0,0.1392757660167131,1.6713091922005572,5601.5,1642.2,0.43816345223967584,0.12929843953073564,7.242339832869081,0.08278318105884513,0.2376282990975003,0.036837666030534774
0.25,2000,0.2,50,581,11.62,0.9835801631407257,0.9886329839164341,0.9532453742386507,0.9667128401175336,0.9798749364148973,0.0,0.0,0.0,1.2048192771084338,8088.0,2992.0,0.40622945152587114,0.10236634081969943,9.63855421686747,0.09410912421269724,0.26253381292476285,0.036666581948991486
0.3,500,0.2,50,825,16.5,0.982130175264576,0.98936782631891,0.9409438716439741,0.9585006597149612,0.9793477127762854,0.0,0.0,0.24242424242424243,2.0606060606060606,4399.0,971.0,0.45828847386608906,0.14659890163822234,6.787878787878789,0.07703012534163896,0.2328741506687521,0.03844862988966545
0.3,1000,0.2,50,719,14.38,0.9828486434103708,0.98936782631891,0.9482619487555447,0.9640036072402067,0.9795604869837056,0.0,0.0,0.13908205841446453,1.6689847009735743,5573.0,1643.8,0.4380707551171638,0.1308005718143503,7.232267037552156,0.082807319427213,0.2373882736780545,0.03695786103148982
0.3,2000,0.2,50,581,11.62,0.9835721247913012,0.9886329839164341,0.9532453742386507,0.9667128401175336,0.9798749364148973,0.0,0.0,0.0,1.2048192771084338,8088.0,2992.0,0.406230512204537,0.10236634081969943,9.63855421686747,0.09411533607240827,0.26253381292476285,0.03669116098158023
