tau,A_min,n_images,instances_per_image,positive_pairs,negative_same_class_pairs,over_split_noise_pairs,over_split_noise_rate_pct,over_split_noise_pairs_per_image,under_merge_noise_pairs,under_merge_noise_rate_pct,under_merge_noise_pairs_per_image,affinity_noise_rate_pct,affinity_noise_pairs_per_image,positive_feature_sim_mean,negative_same_class_feature_sim_mean,positive_depth_delta_mean,negative_same_class_depth_delta_mean
0.05,200,2975,27.21109243697479,674769,260531,164347,63.08155267511352,55.24268907563025,5733,0.8496240935786914,1.9270588235294117,18.184539719875975,57.16974789915967,0.9255834145738908,0.8980493536401561,0.008879981142759518,0.014285663465221232
0.05,500,2975,22.32403361344538,677919,256786,163121,63.524101781249755,54.830588235294115,6010,0.8865365921297382,2.0201680672268907,18.094585992371925,56.850756302521006,0.925375651803033,0.8982930651397609,0.009014730047919042,0.01400024194624889
0.05,1000,2975,18.2890756302521,681855,251294,161207,64.15075568855603,54.1872268907563,6405,0.9393492751391425,2.152941176470588,17.961976061700756,56.34016806722689,0.9250693996052383,0.8987835056007274,0.009205880225939116,0.013557508026454588
0.05,1500,2975,15.849411764705883,684413,245944,159200,64.73018248056468,53.51260504201681,6721,0.9820094007565607,2.259159663865546,17.834121740364182,55.771764705882354,0.9248222867253179,0.8993152812822722,0.009349558137919428,0.013200090054181145
0.05,2000,2975,14.13310924369748,685977,240654,157030,65.25135671960574,52.78319327731092,7015,1.0226290385829262,2.357983193277311,17.703379230783344,55.141176470588235,0.9246206198229305,0.8998877176958925,0.009473691091924844,0.01286621381803807
0.1,100,2975,25.44235294117647,688677,246707,159681,64.72495713538733,53.674285714285716,6397,0.9288824804661692,2.150252100840336,17.755061023066464,55.82453781512605,0.9246654692493455,0.899056677995015,0.009330053304878643,0.013332882481044361
0.1,200,2975,23.448739495798318,689142,246168,159558,64.816710539144,53.63294117647059,6464,0.9379779493921427,2.1727731092436975,17.75047845099486,55.80571428571429,0.9246354947088357,0.8990918632815496,0.009355593739152639,0.013269889504211216
0.1,500,2975,19.998319327731092,690514,244264,159030,65.10578718108276,53.45546218487395,6652,0.9633403522593315,2.235966386554622,17.724208314701457,55.691428571428574,0.9245381956421475,0.8992580138867948,0.009432976002461983,0.013076517258842627
0.1,1000,2975,16.927731092436975,692190,241238,158024,65.50543446720665,53.11731092436975,6944,1.003192764992271,2.3341176470588234,17.67335027447216,55.45142857142857,0.9243829456560239,0.899593895078837,0.009551216722701374,0.012769335905973326
0.1,1500,2975,14.933109243697478,693261,237849,156690,65.8779309561949,52.66890756302521,7187,1.036694693629095,2.415798319327731,17.600176133861734,55.08470588235294,0.9242510242123587,0.8999867567443725,0.00965207698362628,0.01249575756470856
0.1,2000,2975,13.465546218487395,693665,234087,155043,66.23306719296671,52.11529411764706,7399,1.06665321156466,2.4870588235294115,17.509205046176135,54.60235294117647,0.9241445274859929,0.9003877291263853,0.009728777760850415,0.01226834507276685
0.2,100,2975,22.658487394957984,697249,238138,158737,66.65756830073319,53.35697478991597,7525,1.0792414187757888,2.5294117647058822,17.77467508100925,55.88638655462185,0.9239175436949975,0.9003226089511479,0.009822621681284976,0.012035288084510183
0.2,200,2975,21.260840336134454,697421,237892,158673,66.69959477409917,53.33546218487395,7566,1.084854055154634,2.5431932773109245,17.77362230611571,55.878655462184874,0.9239043128795026,0.9003440801430007,0.009838573000393742,0.011991088979957099
0.2,500,2975,18.688067226890755,697821,236990,158316,66.80281868433268,53.21546218487395,7650,1.096269673741547,2.5714285714285716,17.753963100562572,55.78689075630252,0.9238797190405561,0.9004166007031871,0.009871205426638765,0.011900729572124501
0.2,1000,2975,16.182521008403363,698267,235258,157517,66.95500259289801,52.94689075630252,7791,1.115762308687078,2.6188235294117646,17.70793497763852,55.565714285714286,0.9238270283105413,0.900587837899411,0.00992580493207067,0.011751497270244826
0.2,1500,2975,14.452773109243697,698358,232952,156312,67.10051856176379,52.5418487394958,7911,1.1328000824791868,2.6591596638655464,17.633548442516457,55.20100840336134,0.9237794810396435,0.9008387960858174,0.009970246483665632,0.011629897638824329
0.2,2000,2975,13.140504201680672,698141,230102,154771,67.26190993559378,52.02386554621849,8009,1.1471894645923961,2.6921008403361344,17.536356320489354,54.71596638655462,0.9237427698089579,0.9010852880182024,0.01001015073587412,0.011502033048700408
0.3,100,2975,21.889411764705883,699618,235769,158653,67.29171349923018,53.32873949579832,8195,1.171353510058346,2.754621848739496,17.837322947614197,56.08336134453781,0.9236690437429025,0.9008229211522584,0.010055480558544997,0.011366538335315425
0.3,200,2975,20.661176470588234,699701,235615,158593,67.3102306729198,53.308571428571426,8220,1.1747875163819974,2.7630252100840336,17.834934931082117,56.071596638655464,0.9236607253556168,0.9008397374663033,0.010064981357776288,0.011339502070853533
0.3,500,2975,18.32873949579832,699867,234945,158255,67.35831790419034,53.19495798319328,8266,1.1810815483513295,2.7784873949579834,17.813314334860912,55.97344537815126,0.9236467215166567,0.900906351085327,0.010082193825214606,0.011289851624788898
0.3,1000,2975,15.99327731092437,699983,233570,157467,67.41747655948966,52.93008403361345,8327,1.1896003188648867,2.7989915966386554,17.75946304066293,55.7290756302521,0.9236241538366113,0.9010215942860772,0.010106440771538458,0.011228056720981469
0.3,1500,2975,14.32672268907563,699823,231571,156285,67.48902064593581,52.5327731092437,8374,1.1965882801794168,2.8147899159663865,17.678769672125867,55.347563025210086,0.9236041693047545,0.9012175396672735,0.010126704208917937,0.011179811966691136
0.3,2000,2975,13.063865546218487,699376,228991,154763,67.58475223917097,52.02117647058824,8408,1.2022145455377364,2.826218487394958,17.576130991299777,54.84739495798319,0.9235898901530238,0.9014273388371582,0.010141566995014782,0.011117253918369515
0.4,100,2975,21.58252100840336,700460,234927,158637,67.52608257033036,53.323361344537815,8521,1.2164863089969449,2.8642016806722688,17.870464310493944,56.18756302521008,0.9235658383149394,0.9010487556193147,0.010168188812146445,0.01103518557014144
0.4,200,2975,20.429579831932774,700486,234830,158578,67.52885065792275,53.30352941176471,8525,1.2170121886804304,2.865546218487395,17.8659404949771,56.1690756302521,0.9235644580513505,0.9010506090702406,0.010169571825127857,0.011031774519015264
0.4,500,2975,18.195966386554623,700589,234225,158243,67.56025189454584,53.1909243697479,8551,1.2205444276173334,2.874285714285714,17.842479894396103,56.065210084033616,0.9235539533654142,0.9011127302501332,0.010180685507672965,0.010999634503464948
0.4,1000,2975,15.921008403361345,700588,232981,157460,67.58491035749697,52.92773109243697,8574,1.2238291263909744,2.8820168067226892,17.784866464074963,55.80974789915967,0.9235427846493396,0.9012093450908069,0.010192748290835376,0.010971972694934311
0.4,1500,2975,14.281344537815126,700351,231059,156283,67.6377029243613,52.532100840336135,8594,1.2270989832241261,2.8887394957983195,17.701871356330724,55.420840336134454,0.923531551048885,0.9013829389759759,0.010204651494459928,0.010946156317528773
0.4,2000,2975,13.035630252100841,699821,228613,154765,67.69737503991462,52.0218487394958,8596,1.2283140974620652,2.8894117647058826,17.59532718534651,54.91126050420168,0.9235279121825,0.9015684648231387,0.010208207105233711,0.0109269020180819
