tau,A_min,score_tau,n_images,n_instances,instances_per_image,score_mean,score_median,score_p05,score_p10,score_p25,score_lt_0_60_pct,score_lt_0_70_pct,score_lt_0_80_pct,score_lt_0_90_pct,area_median,area_p10,fill_ratio_mean,fill_ratio_p10,fill_ratio_lt_0_10_pct,depth_mad_norm_mean,depth_mad_norm_p90,boundary_support_mean
0.02,1500,0.2,2975,51190,17.20672268907563,0.9787488593276443,0.985857664402846,0.9340509994767185,0.9509305643961595,0.971809884554757,0.0,0.0,0.003907013088493847,1.2228950966985739,6236.5,2455.0,0.42608055625578906,0.10954813890863054,8.984176596991599,0.06951992178369701,0.1877530132243204,0.08043762057384846
0.02,2000,0.2,2975,44499,14.957647058823529,0.9799667316007515,0.9863682502667436,0.9388139354446295,0.954307266906305,0.9732399227168409,0.0,0.0,0.0,0.8135014269983596,7596.0,3189.8,0.4136179191784846,0.1005139479591234,9.9552798939302,0.07360138050558787,0.19944678107333336,0.07324755325518267
0.05,100,0.2,2975,90150,30.30252100840336,0.9604470771107416,0.9810387068032862,0.8465439314626824,0.892715763922581,0.9505476734427218,0.03549639489739324,0.29728230726566834,2.3394342762063225,11.13144758735441,1821.0,265.0,0.49451102598110197,0.22712717001873628,2.5113699389905713,0.05522643886418798,0.15154755134311898,0.14002867722074003
0.05,200,0.2,2975,80953,27.21109243697479,0.9657970107784536,0.9825340495142624,0.870562856047214,0.9095642653198815,0.9573297774595069,0.009882277370820106,0.07658764962385581,1.220461255296283,8.398700480525736,2344.0,437.2000000000007,0.48127168702875606,0.20160518145012568,3.6292663644336836,0.05800381878777986,0.1602665187740779,0.12652808679436608
0.05,500,0.2,2975,66414,22.32403361344538,0.9724069081088605,0.9844011727138515,0.9011537954139356,0.9307039842682239,0.965022267494829,0.0,0.006022826512482308,0.29060137922727136,4.837835396151414,3553.0,910.0,0.4582517810123458,0.15305527341579941,5.873761556298371,0.06481223652774601,0.17992505631823072,0.10411099486724518
0.05,1000,0.2,2975,54410,18.2890756302521,0.9764322477438546,0.9855044863456887,0.9208988274560022,0.9435835072515907,0.9694124156658422,0.0,0.0,0.07167800036757949,2.6171659621393126,5070.0,1649.0,0.43554037772355236,0.11976650343638245,8.119830913435031,0.07273751137324637,0.20197069504999693,0.08577041921965728
0.05,1500,0.2,2975,47152,15.849411764705883,0.9783277314907985,0.9859902889187452,0.9307334577686934,0.9495028537606521,0.971494532441162,0.0,0.0,0.010604004071937564,1.6202918221920597,6401.0,2352.0,0.41940958506503584,0.10382771884921815,9.547845266372583,0.0779844337691119,0.21653579375274332,0.07624176823511569
0.05,2000,0.2,2975,42046,14.13310924369748,0.9794387766223562,0.986263960460215,0.9362484843406713,0.9529913042443838,0.9726872113673551,0.0,0.0,0.0,1.1130666412976264,7608.5,3067.0,0.4073933837327558,0.09624109458737233,10.517052751748086,0.08227494220545452,0.22730965592830943,0.06960557634953951
0.1,100,0.2,2975,75691,25.44235294117647,0.9647624681026311,0.9849158118427416,0.8519974219099044,0.9040565253705454,0.9608055582377668,0.07398501803384815,0.4835449392926504,2.412440052317977,9.481972757659431,2376.0,279.0,0.491863108950017,0.21212121212121213,2.8008613969956797,0.061846168931217804,0.1761630758266179,0.11060649518246775
0.1,200,0.2,2975,69760,23.448739495798318,0.9690650970261174,0.9853872211457653,0.8758407963774955,0.9193763103255268,0.9642116159267865,0.021502293577981654,0.15768348623853212,1.354644495412844,7.3193807339449535,2886.0,446.0,0.4789465347150513,0.18781144323671498,3.967889908256881,0.06441583959478414,0.1836373638937392,0.10018652287787978
